אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש




🌿,15 (שלישי),27/10/2026,Namba Parks Rooftop Gardens,טבע ופארקים | אדריכלות נוף,⭐⭐⭐ אם יש זמן,"2 Chome-10-70 Nambanaka, Naniwa Ward, Osaka",☀️ שמש / ☁️ מעונן,"גני הגג המרהיבים של קניון נמבה פארקס:

• הליכת בוקר רעננה בפרויקט אדריכלי עתידני של גנים מדורגים. ממוקם ממש על הדרך לתחנת Midosuji שתקח אותך לאקסטרים בצפון העיר.

[רמת עומס יומית: 🔴 קשה - ציר תנועה נרחב מאקסטרים לספא לקניות].

[בוקר רגוע: קום, התפלל, ארוחה קלה. עזיבת הדירה ב-09:45 למניעת עומס בוקר].

🍽️ פתרון תזונה יומי: סיום יום בבישול בדירה מהמוצרים שקנית אתמול.

🥤 שילוב חלבון: שייק חלבון מיד אחרי מתחם האקסטרים VS PARK.

💡 Plan B גשם: אם יורד גשם כבד — קיצור ההליכה ומעבר למתחם מקורה סמוך.

🔍 לסינון: פארק / קניות",הליכה רגלית קצרה של כ-10 דקות מהדירה אל קומפלקס נמבה פארקס.,אוסקה - נאמבה,10:00 - 10:45,45 דקות,,חינם,🚶‍♂️ אין צורך להזמין מראש: כניסה חופשית לגנים.,https://www.nambaparks.com/,≈ 10 דקות הליכה מהדירה,https://www.google.com/maps/dir/?api=1&origin=2-10-7+Nipponbashi+Osaka&destination=Namba+Parks+Rooftop+Gardens,,,✓ הליכה קלילה כחימום | ✓ Power Bank וכבל

🏃‍♂️,15 (שלישי),27/10/2026,VS PARK LaLaport EXPOCITY,אטרקציה | ספורט ואקסטרים מקורה,⭐⭐⭐⭐⭐ חובה,"2-1 Senribanpakukoen, Suita, Osaka",הכל (מקורה),"פארק הספורט הוירטואלי VS PARK:

• אקסטרים פיזי עתידני המשלב סימולטורים דיגיטליים, ריצה מול מסכי ענק ומשחקי מציאות רבודה.

💡 המלצת רכישה: מומלץ מאוד דרך אפליקציה. מקנה הנחות טובות שאין בקופות של הפארק ומונע ממך לעמוד בתורים הארוכים בכניסה לילדים שמחכים לשלם.

[רמת עומס: 🔴 גבוה]

💡 Plan B מזג אוויר/עומס: אם המתקן סגור (גשם/רוח) — מעבר למתקן מקורה סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: פארק שעשועים / אקסטרים","ממתחם נמבה קח את Midosuji צפונה לתחנת Senri-🔵 Chuo, והחלף ל-Osaka Monorail מזרחה לתחנת Bampaku-Kinen-Koen.",אוסקה - צפון (סויטה),12:00 - 15:00,3 שעות,,"75 ₪ (~4,000 ¥)","🚨 מומלץ להזמין מראש: החל מ-13/10/2026 (שבועיים מראש) להבטחת המקום במחיר מוזל.
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 13/10/2026 + תזכורת הכנה יום לפני (12/10/2026) — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://bandainamco-am.co.jp/others/vspark/
Klook: https://www.klook.com/search/result/?query=VS%20PARK%20LaLaport%20EXPOCITY
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=VS%20PARK%20LaLaport%20EXPOCITY&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/VS%20PARK%20LaLaport%20EXPOCITY
GetYourGuide: https://www.getyourguide.com/s?q=VS+PARK+LaLaport+EXPOCITY
Pelago: https://www.pelago.co/en-US/search/?keyword=VS%20PARK%20LaLaport%20EXPOCITY",≈ 75 דקות (כולל זמן החלפה ורכישת כרטיס),https://www.google.com/maps/dir/?api=1&origin=Namba+Parks+Rooftop+Gardens&destination=VS+PARK+LaLaport+EXPOCITY,,,✓ בגדי ספורט ונעלי ריצה נוחות! | ✓ Power Bank וכבל

🎡,15 (שלישי),27/10/2026,Redhorse Osaka Wheel,אטרקציה | גלגל ענק,⭐⭐⭐⭐ מומלץ,"Suita, Osaka",☀️ שמש / ראות טובה,"הגלגל הענק הגבוה ביפן (123 מטר):

• קרון עם רצפה שקופה לחלוטין! ממוקם ממש בחוץ למתחם VS PARK אז זה משתלב מושלם להרגעת הדופק.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לאטרקציה מקורה סמוכה או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: אטרקציה / תצפית",הליכה של 2 דקות החוצה ממתחם VS PARK / LaLaport.,אוסקה - סויטה,15:15 - 16:00,45 דקות,,"כ-20 ₪ (~1,000 ¥)",🚶‍♂️ רכישת כרטיס בקופות למטה.,"רשמי: https://osaka-wheel.com/
Klook: https://www.klook.com/search/result/?query=Redhorse%20Osaka%20Wheel
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Redhorse%20Osaka%20Wheel&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Redhorse%20Osaka%20Wheel
GetYourGuide: https://www.getyourguide.com/s?q=Redhorse+Osaka+Wheel
Pelago: https://www.pelago.co/en-US/search/?keyword=Redhorse%20Osaka%20Wheel",≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=VS+PARK+LaLaport+EXPOCITY&destination=Redhorse+Osaka+Wheel,,⚠️ שירותים,✓ ללא פחד גבהים (רצפה שקופה) | ✓ Power Bank וכבל

♨️,15 (שלישי),27/10/2026,Solaniwa Onsen,ספא ומרחצאות | אונסן,⭐⭐⭐⭐ מומלץ,"1 Chome-2-3 Benten, Minato Ward, Osaka",הכל (מקורה),"פארק מרחצאות האונסן וספא ענק Solaniwa Onsen:

• קומפלקס בריאות מעוצב בסגנון עיירת אדו עתיקה להתאוששות פיזית מוחלטת לאחר האקסטרים של הבוקר!
💡 רחצה באונסן היא בעירום מלא ומופרדת מגדרית. השתמש במגבת הקטנה כדי לכסות את אזור החלציים בזמן ההליכה מחוץ למים, והנח אותה על הראש בעת הכניסה למים.

💡 המלצת רכישה: אל תקנה בקופה! האפליקציות מציעות לרוב כרטיסים מוזלים, וההפעלה מתבצעת בשירות העצמי בכניסה בצורה קלילה באנגלית.

[רמת עומס: 🟢 קל]

💡 Plan B: אם עמוס/סגור — קיצור השהייה או מעבר לאזור המנוחה המקורה של המתחם.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מרחצאות / ספא","מתחנת פארק אקספו קח מונורייל מערבה לתחנת Hotarugaike והחלף לקו JR Osaka Loop Line לתחנת Bentencho.

[יציאה מומלצת: יציאה 2A מחוברת ישירות לספא]",אוסקה - מפרץ,17:00 - 19:00,שעתיים,,"65 ₪ (~3,500 ¥)","🚨 מומלץ להזמין מראש: החל מ-13/10/2026 (שבועיים מראש) לקבלת ההנחה.
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 13/10/2026 + תזכורת הכנה יום לפני (12/10/2026) — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://solaniwa.com/en-us/
Klook: https://www.klook.com/search/result/?query=Solaniwa%20Onsen
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Solaniwa%20Onsen&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Solaniwa%20Onsen
GetYourGuide: https://www.getyourguide.com/s?q=Solaniwa+Onsen
Pelago: https://www.pelago.co/en-US/search/?keyword=Solaniwa%20Onsen",≈ 60 דקות (מונורייל + רכבת),https://www.google.com/maps/dir/?api=1&origin=Redhorse+Osaka+Wheel&destination=Solaniwa+Onsen+Osaka,,⚠️ שירותים,✓ בגדים נקיים להחלפה | ✓ תיק רחצה בסיסי (שאר הציוד מסופק שם) | ✓ Power Bank וכבל

💆‍♂️,15 (שלישי),27/10/2026,Solaniwa Relaxation Salon (Massage),ספא ומרחצאות | טיפולים,⭐⭐⭐⭐ מומלץ,"1 Chome-2-3 Benten, Minato Ward, Osaka",הכל (מקורה),"סלון הטיפולים של סולאניווא:

• עיסוי כפות רגליים או גוף (Reflexology) לשחרור מוחלט של שרירי הגב לפני המשך הערב.

[רמת עומס: 🟢 קל]

💡 Plan B: אם עמוס/סגור — קיצור השהייה או מעבר לאזור המנוחה המקורה של המתחם.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: ספא / רפואי",נמצא ישירות בתוך מתחם Solaniwa Onsen בקומה הייעודית.,אוסקה - מפרץ,19:00 - 20:00,שעה,,"כ-140 ₪ (~7,500 ¥)","🚨 מומלץ לשריין תור בקבלה מיד עם כניסתך לאונסן בצהריים!
⏰ התראה: קבע תזכורת ליום ההגעה (27/10/2026) לשעות הצהריים, כדי לגשת לדלפק ולשריין תור מיד עם הכניסה לאונסן.
","רשמי: https://solaniwa.com/en-us/
Klook: https://www.klook.com/search/result/?query=Solaniwa%20Onsen
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Solaniwa%20Onsen&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Solaniwa%20Onsen
GetYourGuide: https://www.getyourguide.com/s?q=Solaniwa+Onsen
Pelago: https://www.pelago.co/en-US/search/?keyword=Solaniwa%20Onsen",נמצא בתוך האונסן (0 דקות),https://www.google.com/maps/dir/?api=1&origin=Solaniwa+Onsen+Osaka&destination=Solaniwa+Onsen+Osaka,,⚠️ שירותים,✓ להירגע ולשתות מים | ✓ Power Bank וכבל

🛍.,15 (שלישי),27/10/2026,Shinsaibashi PARCO,קניות | אופנה ותרבות פופ,⭐⭐⭐ אם יש זמן,"1 Chome-8-3 Shinsaibashisuji, Chuo Ward, Osaka",הכל (מקורה),"קניון שינסאיבאשי פארוקו:

• חזרה למרכז העיר. קומה 6 היא גן עדן לחובבי תרבות פופ, הכוללת חנויות רשמיות של Capcom ופיגרים מיוחדים.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לחנות/קומביני סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות","מתחנת Bentencho קח קו 🔵 Chuo Line לתחנת Hommachi, והחלף דרומה לקו Midosuji לתחנת Shinsaibashi.

[יציאה מומלצת: יציאה 4-A]",אוסקה - שינסאיבאשי,20:30 - 21:30,שעה,,"כניסה: 0₪ | קניות (אופציונלי): כ-185 ₪ (~10,000 ¥)",🚶‍♂️ אין צורך להזמין מראש.,https://shinsaibashi.parco.jp/,≈ 30 דקות בתחתית,https://www.google.com/maps/dir/?api=1&origin=Solaniwa+Onsen+Osaka&destination=Shinsaibashi+PARCO,,⚠️ שירותים,✓ דרכון (ל-Tax Free) | ✓ Power Bank וכבל

🍽️,15 (שלישי),27/10/2026,Dotonbori,אטרקציה עירונית | חיי לילה ואוכל,⭐⭐⭐⭐⭐ חובה,"1 Chome-9 Dotonbori, Chuo Ward, Osaka",🌃 לילה,"סיבוב פרידה לילי מדוטונבורי האייקוני:

• צפייה באורות הניאון, צילום איש הגליקו הרץ (Glico Man) ואווירת רחוב מחשמלת שמחברת אותך ישירות לדירה בסיום המסלול.

💡 בצע פה (בחנויות נוחות או סופרים) קניית אוכל לבישול ארוחת הערב בדירה (במקום לשבת במסעדה).

[רמת עומס: 🟢 קל]

💡 Plan B: אם המקום סגור/יקר/עמוס — קניית מצרכים כשרים בסופר/קומביני והכנה עצמאית בדירה.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: אטרקציה / חיי לילה / אוכל",ירידה רגלית דרומה לאורך מדרחוב שינסאיבאשי עד לגשר תעלת דוטונבורי ומשם לדירה.,אוסקה - דרום,21:30 - 22:30,שעה,,"כ-92 ₪ (~5,000 ¥)",🚶‍♂️ אין צורך להזמין מראש: סיור רחוב.,,≈ 15 דקות הליכה רצופה דרומה,https://www.google.com/maps/dir/?api=1&origin=Shinsaibashi+PARCO&destination=Dotonbori+Osaka,,⚠️ שירותים,✓ מצלמה מוכנה | ✓ Power Bank וכבל

🏠,15 (שלישי),27/10/2026,🏠 MORI Apartment (Osaka),לינה | דירה,⭐⭐⭐⭐⭐ חובה,"2 Chome-10-7 Nipponbashi, Chuo Ward, Osaka",הכל (מקורה),"חזרה בטוחה לדירה בנאמבה ללילה אחרון באוסקה.

• בישול ארוחת ערב במטבח הדירה (באמצעות הציוד שבתיק המתקפל) ואריזת התיק. 
• חזרה מוקדמת מונעת הצטופפות עם שיכורי חצות בתחנת נאמבה העמוסה.

[חלון זמן צ'ק-אאוט מחר בבוקר: עד 11:00].

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: ארוחת ערב/בוקר בהכנה עצמאית בדירה או שאריות מהיום.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",הליכה רגלית נוחה מדוטונבורי מזרחה אל הדירה.,אוסקה - נאמבה,22:45 - 08:30,לינה,,0 ₪,✅ כבר הוזמן מראש (צ'ק אאוט מחר עד 11:00).,"רשמי: https://www.booking.com/
Klook: https://www.klook.com/search/result/?query=MORI%20Apartment%20Osaka
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=MORI%20Apartment%20Osaka&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/MORI%20Apartment%20Osaka
GetYourGuide: https://www.getyourguide.com/s?q=MORI+Apartment+Osaka
Pelago: https://www.pelago.co/en-US/search/?keyword=MORI%20Apartment%20Osaka",≈ 15 דקות הליכה בחזרה,https://www.google.com/maps/dir/?api=1&origin=Dotonbori+Osaka&destination=2-10-7+Nipponbashi+Osaka,,⚠️ שירותים,✓ אריזת התיק הקטן ועזיבה מחר | ✓ Power Bank וכבל




🛝,16 (רביעי),28/10/2026,Tsutenkaku Tower Slider,אטרקציה | אקסטרים,⭐⭐⭐⭐ מומלץ,"1 Chome-18-6 Ebisuhigashi, Naniwa Ward, Osaka",הכל (מקורה),"מגלשת הצינור הספירלית (Tower Slider) במגדל צוטנקאקו:

• חוויית אקסטרים מהירה לפתיחת הבוקר. אתה מגיע קל עם תיק הגב (ותיק הצ'ימידן המתקפל אם איתך), ותוכל פשוט להמשיך להנות. העוגן הראשון של הבוקר.

[רמת עומס יומית: 🔴 קשה - יום עלייה צפונה לקראת נסיעת הלילה].

[בוקר רגוע: קום, תפילה, ארוחת בוקר שאריות. עזיבת דירה ב-09:45 למניעת היתקעות בעומס בוקר].

🍽️ פתרון תזונה יומי: ארוחת וואגיו כשר (Yu-chan) בערב לקינוח הטיול!

🍫 שילוב חלבון: חטיף חלבון באוטובוס הלילה לטוקיו.

💡 Plan B מזג אוויר/עומס: אם המתקן סגור (גשם/רוח) — מעבר למתקן מקורה סמוך או קיצור הביקור.

🔍 לסינון: אטרקציה / אקסטרים","לאחר עזיבת הדירה, נסע לתחנת Ebisucho הסמוכה (10 דקות).

[יציאה מומלצת: יציאה 3]",אוסקה - שינסקאי,10:00 - 11:00,שעה,,"25 ₪ (~1,350 ¥)",🚶‍♂️ תשלום במכונות בכניסה למגדל (לא ניתן לשריון).,https://www.tsutenkaku.co.jp/,≈ 15 דקות (תחתית + הליכה),https://www.google.com/maps/dir/?api=1&origin=2-10-7+Nipponbashi+Osaka&destination=Tsutenkaku+Osaka,,⚠️ שירותים,✓ כיסים סגורים למגלשה | ✓ Power Bank וכבל

♨️,16 (רביעי),28/10/2026,SPAWORLD HOTEL & RESORT,ספא ומרחצאות | פארק מים ומרחצאות,⭐⭐⭐⭐ מומלץ,"3 Chome-4-24 Ebisuhigashi, Naniwa Ward, Osaka",הכל (מקורה),"פארק המים וקומפלקס המרחצאות SpaWorld:

• אונסן במגוון נושאים מעוצבים מכל העולם. מקום מצוין להעברת שעות הצהריים ברוגע ולמקלחת יסודית לפני נסיעת הלילה באוטובוס.

💡 שימוש בשקיות זיפלוק/גופיה: לאחר הרחצה, הכנס את הבגדים הלחים או המגבת לשקית זיפלוק כדי להפריד אותם מהאלקטרוניקה שבתיק הגב שלך.

💡 המלצת רכישה: Trip.com ו-Klook תמיד מציעים הנחות טובות לקומפלקס הזה במיוחד. בנוסף זה חוסך לך להתעסק עם המכונות האוטומטיות היפניות הענקיות בכניסה למקום.

[רמת עומס: 🟢 קל]

💡 Plan B: אם עמוס/סגור — קיצור השהייה או מעבר לאזור המנוחה המקורה של המתחם.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מרחצאות / פארק מים",הליכה קצרה של 4 דקות מפתח מגדל צוטנקאקו אל הקומפלקס.,אוסקה - שינסקאי,11:00 - 13:30,שעתיים וחצי,,"40 ₪ (~2,200 ¥)","🚨 מומלץ להזמין מראש: החל מ-14/10/2026 (שבועיים מראש) או אף בבוקר אותו היום מאחת האפליקציות.
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 14/10/2026 + תזכורת הכנה יום לפני (13/10/2026) — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://www.spaworld.co.jp/english/
Klook: https://www.klook.com/search/result/?query=SpaWorld%20Osaka
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=SpaWorld%20Osaka&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/SpaWorld%20Osaka
GetYourGuide: https://www.getyourguide.com/s?q=SpaWorld+Osaka
Pelago: https://www.pelago.co/en-US/search/?keyword=SpaWorld%20Osaka",≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Tsutenkaku+Osaka&destination=SpaWorld+Osaka,,⚠️ שירותים,✓ דרכון | ✓ Power Bank וכבל

💻,16 (רביעי),28/10/2026,Yodobashi Camera Umeda,קניות | טכנולוגיה ואלקטרוניקה,⭐⭐⭐⭐⭐ חובה,"1-1 Ofukacho, Kita Ward, Osaka",הכל (מקורה),"בלוק זמן ענק ונטול לחץ באומדה המשמש כחוצץ חינמי!

• מפריד בדיוק בין האונסן לטיפול הכירופרקטי, ומאפשר לך לשוטט בחנות הדגל המטורפת Yodobashi Camera לשופינג PC קצה, אודיו וחומרה ללא לחץ זמנים. מתחם אומדה משמש כבסיס ההמתנה המצוין לקראת האוטובוס.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לחנות/קומביני סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / טכנולוגיה","עליה על קו Midosuji Line מתחנת Dobutsuen-mae (ליד ספא וורלד) ישירות צפונה אל תחנת Umeda.

[יציאה מומלצת: יציאה צפונית מחוברת למרתף הבניין]",אוסקה - אומדה,14:15 - 16:45,שעתיים וחצי,,חינם,🚶‍♂️ הצג דרכון בקופה לקבלת פטור ממס.,"רשמי: https://www.yodobashi.com/
Klook: https://www.klook.com/search/result/?query=Yodobashi%20Camera%20Umeda
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Yodobashi%20Camera%20Umeda&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Yodobashi%20Camera%20Umeda
GetYourGuide: https://www.getyourguide.com/s?q=Yodobashi+Camera+Umeda
Pelago: https://www.pelago.co/en-US/search/?keyword=Yodobashi%20Camera%20Umeda",≈ 25 דקות בתחתית,https://www.google.com/maps/dir/?api=1&origin=SpaWorld+Osaka&destination=Yodobashi+Camera+Umeda,,⚠️ שירותים,✓ דרכון פיזי ל-Tax Free | ✓ כרטיס אשראי | ✓ Power Bank וכבל

💆‍♂️,16 (רביעי),28/10/2026,Karada Factory (Seitai Clinic),ספא ומרחצאות | כירופרקטיקה,⭐⭐⭐⭐ מומלץ,"LINKS UMEDA 6F, 1-1 Ofukacho, Kita Ward, Osaka",הכל (מקורה),"קליניקת הכירופרקטיקה (Seitai):

• ריענון ושחרור כירופרקטי מוחלט של הגב והגוף קריטי לחלוטין לפני נסיעת הלילה באוטובוס.

[רמת עומס: 🟢 קל]

💡 Plan B: אם עמוס/סגור — קיצור השהייה או מעבר לאזור המנוחה המקורה של המתחם.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: ספא / רפואי",נמצאת ישירות באותו בניין עצמו של מתחם Yodobashi בקומה ה-6.,אוסקה - אומדה,17:00 - 18:00,שעה,,"כ-160 ₪ (~8,600 ¥)","🚨 מומלץ להזמין באתר יום לפני או לגשת ולשריין תור בצהריים.
⏰ התראה: קבע תזכורת ליום לפני (27/10/2026) להזמנת תור באתר, או תזכורת לצהרי יום ההגעה כדי לשריין תור פיזית במקום.
.",https://karada39.com/,מעבר בין קומות באותו בניין (5 דקות),https://www.google.com/maps/dir/?api=1&origin=Yodobashi+Camera+Umeda&destination=Yodobashi+Camera+Umeda,,⚠️ שירותים,✓ ביגוד נוח ומשוחרר | ✓ Power Bank וכבל

🍄,16 (רביעי),28/10/2026,Nintendo OSAKA & Pokemon Center,קניות | גיימינג ותרבות פופ,⭐⭐⭐⭐⭐ חובה,"Daimaru Umeda 13F, 3-1-1 Umeda, Kita Ward, Osaka",הכל (מקורה),"חנויות נינטנדו ופוקימון סנטר:

• השלמת מרצ'נדייז בלעדיים, גאדג'טים ומוצרי אספנות של הרגע האחרון. משמש כחוצץ פתוח וחינמי נהדר לפני שאתה הולך לארוחת הוואגיו המוזמנת מראש!

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לחנות/קומביני סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / אטרקציה","הליכה במעבר התת-קרקעי לבניין כלבו Daimaru Umeda הסמוך, קומה 13.",אוסקה - אומדה,18:00 - 19:00,שעה,,"כניסה: 0₪ | קניות (אופציונלי): כ-185 ₪ (~10,000 ¥) אם קונה משהו",🚶‍♂️ אין צורך להזמין מראש.,https://www.nintendo.co.jp/officialstore/,≈ 10 דקות הליכה תת קרקעית,https://www.google.com/maps/dir/?api=1&origin=Yodobashi+Camera+Umeda&destination=Nintendo+OSAKA+Daimaru+Umeda,,⚠️ שירותים,✓ חופשי | ✓ Power Bank וכבל

🍽️,16 (רביעי),28/10/2026,Yu-chan (Kosher Wagyu Restaurant),מסעדה | אוכל כשר (בשרים),⭐⭐⭐⭐⭐ חובה,"1-9-15 Sonezakishinchi, Kita Ward, Osaka",הכל (מקורה),"מסעדת יו-צ'אן (ארוחת וואגיו כשר):

• ארוחת טעימות (Omakase) כשרה ואותנטית, סיום מרהיב לאוסקה ולטיול.

💡 אופציה חלופית (Plan B): אם המסעדה יקרה מדי ואינך מעוניין, ניתן לארגן ארוחת סיום מפנקת ממצרכים וסשימי טרי שנקנו מוקדם יותר בשוק קורומון או בסופר, ולהכין עצמאית. (ניתן גם להזמין בנטו כשר מ-Kosher Delica לאיסוף לאותו ערב).

[רמת עומס: 🟢 קל]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מסעדה / אוכל",הליכה קצרה ממתחם Daimaru Umeda ישירות לתוך סמטאות Sonezakishinchi.,אוסקה - אומדה,19:15 - 20:45,שעה וחצי,,כ-500-1000 ₪ (בהתאם למנה),"🚨 חובה להזמין מראש (כחודש מראש, החל מ-28/09/2026) ולסמן תפריט Kosher Omakase! ⏰ התראה: קבע תזכורת להזמנה ב-28/09/2026 + תזכורת הכנה יום לפני (27/09/2026) — לוודא אמצעי תשלום, פרטים וזמינות.
.","TableCheck https://www.tablecheck.com/he/japanese-restaurant-yu-chan
פייסבוק (וואצאפ) https://www.facebook.com/japaneserestaurantyyuchan/
Tabelog https://tabelog.com/en/osaka/A2701/A270108/27133716/",כ-15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Nintendo+OSAKA+Daimaru+Umeda&destination=Japanese+Restaurant+Yu-chan+Osaka,,⚠️ שירותים,✓ הזמנה ותשלום מראש | ✓ Power Bank וכבל

🍽️,16 (רביעי),28/10/2026,Seven Eleven (Umeda Sky Building),קניות | חנות נוחות,⭐⭐⭐⭐ מומלץ,"1 Chome-1-88 Oyodonaka, Kita Ward, Osaka",הכל (מקורה),"הצטיידות לאוטובוס (חנות נוחות):
• הוקדם כדי לשמש כחוצץ חינמי! קניית מים, חטיפים כשרים ומזון קל לנסיעת הלילה המפרידה בין ארוחת הערב לתצפית העוקבת.

[רמת עומס: 🟢 קל]

💡 המלצת רכישה: מומלץ לקנות את הכרטיס דרך Klook או אפליקציה אחרת - זה מאפשר לך לעלות ישירות למעליות של הקומה ה-39 מבלי לעמוד בתור לקופות למטה בקומת הקרקע.

💡 Plan B: אם סגור — קומביני חלופי סמוך (רובם פתוחים 24/7).

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / חנות נוחות / אוכל",בקומת הקרקע או בסמוך למגדל אומדה סקיי שאליו תלך מיד אחרי.,אומדה,21:00 - 21:15,15 דקות,,"כניסה: 0₪ | קניות (אופציונלי): כ-35 ₪ (~1,900 ¥)",🚶‍♂️ תשלום בקופה במקום.,https://www.sej.co.jp/,≈ 15 דקות הליכה מיו-צ'אן אל מתחם אומדה סקיי,https://www.google.com/maps/dir/?api=1&origin=Japanese+Restaurant+Yu-chan+Osaka&destination=Umeda+Sky+Building,,⚠️ שירותים,✓ הצטיידות לאוטובוס לילה | ✓ Power Bank וכבל

